Pression (mBar);Tension (mV);T1 en µs;T2 en µs;TR2 en µs;TR1 en µs;Us;Ur;Ms;racine(T3/T0);a3;M3;u3/choc;u3/tube;MR
16,82262;2,8;194;348;536;890;649,3506494;282,4858757;1,909854851;1,271064526;432,1619389;0,594;256,7041917;392,6464576;1,562220715
27,32476;3,9;113;270;458;780;636,9426752;310,5590062;1,873360809;1,259868299;428,3552215;0,601;257,4414882;379,501187;1,610953149
36,87216;4,9;136;298;488;798;617,2839506;322,5806452;1,815541031;1,242269665;422,371686;0,613;258,9138435;358,3701071;1,612207387
40,69112;5,3;102;270;446;756;595,2380952;322,5806452;1,75070028;1,222739559;415,7314502;0,628;261,0793507;334,1587445;1,579720248
48,32904;6,1;122;286;430;810;609,7560976;263,1578947;1,793400287;1,235576825;420,0961204;0,618;259,6194024;350,1366951;1,459891106
56,9217;7;488;672;862;1198;543,4782609;297,6190476;1,598465473;1,177671503;400,4083112;0,669;267,8731602;275,6051007;1,431599026
66,4691;8;113;285;379;789;581,3953488;243,902439;1,70998632;1,210583161;411,5982748;0,638;262,5996993;318,7956495;1,367105071
76,97124;9,1;96;272;332;764;568,1818182;231,4814815;1,671122995;1,199052305;407,6777837;0,648;264,1752038;304,0066144;1,313508161
85,5639;10;282;460;548;872;561,7977528;308,6419753;1,652346332;1,193505614;405,7919087;0,653;264,9821164;296,8156364;1,492039636
-5,1364;0,5;338;452;772;1190;877,1929825;239,2344498;2,57997936;1,489247437;506,3441287;0,506;256,2101291;620,9828533;1,698878795
56,9217;7;800;978;1072;1492;561,7977528;238,0952381;1,652346332;1,193505614;405,7919087;0,653;264,9821164;296,8156364;1,318190095
-0,3627;1;568;692;1088;1530;806,4516129;226,2443439;2,371916509;1,419048805;482,4765936;0,526;253,7826882;552,6689247;1,614406334
18,7321;3;622;770;1044;1258;675,6756757;467,2897196;1,987281399;1,295064995;440,3220981;0,579;254,9464948;420,7291809;2,016748431
28,2795;4;704;860;952;1292;641,025641;294,1176471;1,885369532;1,263545571;429,6054941;0,598;256,9040855;384,1215555;1,578748903
37,8269;5;718;874;940;1332;641,025641;255,1020408;1,885369532;1,263545571;429,6054941;0,598;256,9040855;384,1215555;1,487931614
47,3743;6;868;1036;1066;1522;595,2380952;219,2982456;1,75070028;1,222739559;415,7314502;0,628;261,0793507;334,1587445;1,331284871
